Exercise Name;Crossfit Session Name;Type of Activity;Type of Equipment;Body Part;Type;Muscle Groups Activated;Instructions
Cossack Squat;Aerobic Body Building;Warm-up;Dumbbells;Full body;Pull;Upper Chest, Shoulders;Warm-up adequately before performing this exercise to prevent injury.
Glute-Ham Raises;Gymnastics;Cardio;Medicine Ball;Core;Push;Lower Back, Core;Ensure your breathing is controlled, exhaling during the exertion phase.
Strict L-Sit Pull-Ups;Aerobic Body Building;Cardio;Bodyweight;Lower body;Pull;Core, Shoulders;Maintain a strong core throughout the exercise for better stability.
Lunge Twists;Gymnastics;Warm-up;Barbell;Full body;Hold;Glutes, Hamstrings;Focus on controlling the movement to avoid injury, especially when using heavy weights.
Front Squat;Strength;Strength;Bodyweight;Lower body;Hold;Upper Chest, Shoulders;Focus on controlling the movement to avoid injury, especially when using heavy weights.
Dumbbell Thrusters;Conditioning;Warm-up;Bodyweight;Full body;Hold;Glutes, Hamstrings;Make sure to use explosive power when needed, especially for dynamic exercises.
Elevated Pike Push-Up;Conditioning;Mobility;Kettlebell;Core;Push;Lats, Biceps;Make sure to use explosive power when needed, especially for dynamic exercises.
Glute-Ham Raises;Strength;Warm-up;Resistance Band;Core;Hold;Chest, Triceps;Start with a lighter weight or progression if you're new to this exercise.
Behind the Neck Jerk;Aerobic Body Building;Mobility;Barbell;Core;Hold;Lower Back, Core;Maintain a strong core throughout the exercise for better stability.
Plank Hold;Aerobic Body Building;Warm-up;Pull-up Bar;Lower body;Hold;Lower Back, Core;Stretch before and after this exercise for better mobility and recovery.
Single Leg Box Jump;Crossfit;Warm-up;Kettlebell;Lower body;Stretch;Chest, Triceps;Stretch before and after this exercise for better mobility and recovery.
Power Jerk;Strength;Mobility;Resistance Band;Lower body;Push;Quads, Glutes;Make sure to use explosive power when needed, especially for dynamic exercises.
Tire Flips;Aerobic Body Building;Cardio;Dumbbells;Lower body;Push;Lats, Biceps;Maintain a strong core throughout the exercise for better stability.
Overhead Press;Gymnastics;Cardio;Medicine Ball;Core;Pull;Hamstrings, Glutes;Maintain a strong core throughout the exercise for better stability.
Weighted Sit-Ups;Crossfit;Warm-up;Kettlebell;Upper body;Stretch;Biceps, Shoulders;Warm-up adequately before performing this exercise to prevent injury.
Sumo High Pull;Crossfit;Mobility;Bodyweight;Upper body;Stretch;Upper Chest, Shoulders;Focus on controlling the movement to avoid injury, especially when using heavy weights.
Landmine Squats;Aerobic Body Building;Strength;Resistance Band;Upper body;Stretch;Core, Shoulders;Make sure to use explosive power when needed, especially for dynamic exercises.
Kettlebell Windmill;Conditioning;Warm-up;Dumbbells;Full body;Stretch;Shoulders, Triceps;Focus on controlling the movement to avoid injury, especially when using heavy weights.
Reverse Lunges;Conditioning;Strength;Pull-up Bar;Lower body;Pull;Shoulders, Triceps;Start with a lighter weight or progression if you're new to this exercise.
Jerk Balance;Crossfit;Strength;Dumbbells;Upper body;Pull;Lats, Biceps;Ensure your breathing is controlled, exhaling during the exertion phase.
Kettlebell Windmill;Crossfit;Mobility;Medicine Ball;Lower body;Pull;Core, Shoulders;Warm-up adequately before performing this exercise to prevent injury.
Deadlift;Gymnastics;Strength;Medicine Ball;Lower body;Hold;Core, Shoulders;Perform the movement with a full range of motion while maintaining proper posture.
Split Squats;Strength;Strength;Bodyweight;Core;Stretch;Biceps, Shoulders;Perform the movement with a full range of motion while maintaining proper posture.
