"Barbell Rows";"Crossfit";"Strength";"Barbell";"Upper body";"Pull";"Back, Biceps";"Bend over with a barbell and pull towards your abdomen."
"Medicine Ball Chest Pass";"Crossfit";"Strength";"Medicine Ball";"Upper body";"Push";"Chest, Triceps";"Stand and pass a medicine ball from your chest to a partner."
"Wall Ball Squats";"Crossfit";"Strength";"Medicine Ball";"Full body";"Push";"Quads, Shoulders";"Perform squats while holding a medicine ball at your chest."
"Clapping Push-ups";"Crossfit";"Strength";"None";"Upper body";"Push";"Chest, Triceps";"Perform a push-up and clap your hands at the top."
"Reverse Crunches";"Crossfit";"Strength";"None";"Core";"Pull";"Abs";"Lie on your back and lift your hips off the ground towards your chest."
"Staggered Push-ups";"Crossfit";"Strength";"None";"Upper body";"Push";"Chest, Triceps";"Perform push-ups with one hand forward and one back."
"Plate Russian Twists";"Crossfit";"Strength";"Weight Plate";"Core";"Pull";"Obliques";"Sit on the ground, lean back slightly, and twist a weight plate side to side."
"Dynamic Lunges";"Crossfit";"Strength";"None";"Lower body";"Push";"Quads, Glutes";"Lunge forward and switch legs in a continuous motion."
"Box Jumps";"Conditioning";"Cardio";"Box";"Lower body";"Push";"Legs, Core";"Jump onto a sturdy box, landing softly."
"Power Cleans";"Crossfit";"Strength";"Barbell";"Full body";"Pull";"Legs, Back, Shoulders";"Lift a barbell from the ground to your shoulders in one movement."
"Handstand Push-ups";"Crossfit";"Strength";"None";"Upper body";"Push";"Shoulders, Triceps";"Perform push-ups while in a handstand position."
"Broad Jumps";"Crossfit";"Strength";"None";"Lower body";"Push";"Legs, Glutes";"Jump forward as far as possible, landing softly."
"Side Plank Raises";"Crossfit";"Strength";"None";"Core";"Pull";"Obliques";"In a side plank position, lift and lower your hips."
"Walking Dumbbell Lunges";"Crossfit";"Strength";"Dumbbells";"Lower body";"Push";"Quads, Glutes";"Lunge forward while holding dumbbells at your sides."
"Dumbbell Deadlifts";"Crossfit";"Strength";"Dumbbells";"Lower body";"Pull";"Hamstrings, Glutes";"Lift dumbbells from the ground while keeping your back straight."
"Single-arm Dumbbell Snatch";"Crossfit";"Strength";"Dumbbell";"Full body";"Pull";"Legs, Back, Shoulders";"Lift a dumbbell from the ground to overhead in one motion."
"Resistance Band Pull-aparts";"Crossfit";"Strength";"Resistance Band";"Upper body";"Pull";"Back, Shoulders";"Hold a band in front and pull it apart to activate your back muscles."
"Burpees";"Conditioning";"Cardio";"None";"Full body";"Push";"All muscle groups";"Drop to a squat, kick your feet back, do a push-up, and return to standing."
"Single-arm Kettlebell Clean";"Crossfit";"Strength";"Kettlebell";"Full body";"Pull";"Legs, Back, Shoulders";"Lift a kettlebell from the ground to your shoulder in one fluid motion."
"Bench Press";"Crossfit";"Strength";"Barbell";"Upper body";"Push";"Chest, Triceps";"Lie on a bench and press a barbell up and down."
"Plate Deadlifts";"Crossfit";"Strength";"Weight Plate";"Lower body";"Pull";"Hamstrings, Glutes";"Lift a weight plate from the ground with proper form."
"Stability Ball Pass";"Crossfit";"Strength";"Stability Ball";"Core";"Pull";"Abs";"Pass a stability ball between your hands and feet while lying down."
"Dumbbell Front Raises";"Crossfit";"Strength";"Dumbbells";"Upper body";"Pull";"Shoulders";"Raise dumbbells to shoulder height in front of you."
"Battle Ropes";"Conditioning";"Cardio";"Battle Rope";"Full body";"Cardio";"All muscle groups";"Create waves in the ropes with your arms while maintaining a squat position."
"Kettlebell Swings";"Crossfit";"Strength";"Kettlebell";"Full body";"Pull";"Glutes, Hamstrings";"Swing a kettlebell between your legs and up to shoulder height."
"Sledgehammer Hits";"Crossfit";"Strength";"Sledgehammer";"Full body";"Push";"Legs, Shoulders";"Swing a sledgehammer down onto a tire or ground."
"Jump Rope";"Conditioning";"Cardio";"Jump Rope";"Full body";"Cardio";"All muscle groups";"Jump continuously over a rope."
"Weighted Plank";"Crossfit";"Strength";"Weighted Plate";"Core";"Hold";"Core";"Hold a plank position with a weight plate on your back."
"Pull-up Negatives";"Crossfit";"Strength";"None";"Upper body";"Pull";"Back, Biceps";"Jump or step up and lower yourself down slowly from a pull-up."
"Squat Jumps";"Crossfit";"Strength";"None";"Lower body";"Push";"Legs, Glutes";"Perform a squat and jump explosively."
"Back Extensions";"Crossfit";"Strength";"None";"Lower body";"Pull";"Lower Back";"Lie face down on a mat and lift your chest off the ground."
"Plank to Push-up";"Crossfit";"Strength";"None";"Core";"Pull";"Core, Chest";"Move from a plank position to a push-up position and back."
"Mountain Climbers";"Crossfit";"Strength";"None";"Full body";"Pull";"Core, Legs";"In a plank position, alternate bringing your knees to your chest quickly."
"Medicine Ball V-Ups";"Crossfit";"Strength";"Medicine Ball";"Core";"Pull";"Abs";"Lie on your back, lift your legs and upper body while holding a medicine ball."
"Single-arm Row";"Crossfit";"Strength";"Dumbbell";"Upper body";"Pull";"Back";"Row a dumbbell towards your abdomen with one arm while supporting your body with the other."
"Flutter Kicks";"Crossfit";"Strength";"None";"Core";"Pull";"Abs";"Lie on your back and alternate kicking your legs up and down."
"Box Dips";"Crossfit";"Strength";"Box";"Upper body";"Push";"Triceps";"Use a box to lower and raise your body using your arms."
"Kettlebell Goblet Squats";"Crossfit";"Strength";"Kettlebell";"Lower body";"Push";"Quads, Glutes";"Hold a kettlebell at your chest and perform squats."
"Crossover Symmetry";"Crossfit";"Mobility";"Resistance Bands";"Upper body";"Mobility";"Shoulders";"Use resistance bands to improve shoulder mobility and strength."
"Weighted Step-ups";"Crossfit";"Strength";"Dumbbells";"Lower body";"Push";"Quads, Glutes";"Step onto a box while holding dumbbells at your sides."
"Burpees";"Crossfit";"Cardio";"Bodyweight";"Full body";"Push";"Chest, Triceps, Shoulders, Core, Legs";"Start in a standing position, drop into a squat, kick your legs back into a plank, do a push-up, jump back to standing, and jump up."
"Deadlift";"Olympic Weightlifting";"Strength";"Barbell";"Lower body";"Pull";"Hamstrings, Glutes, Lower Back, Core";"Grip the barbell with your feet hip-width apart, lift by straightening your hips and knees while keeping your back flat."
"Push Press";"Crossfit";"Strength";"Barbell";"Upper body";"Push";"Shoulders, Triceps, Upper Chest";"Start with a barbell at shoulder height, bend your knees slightly, and drive the bar overhead with an explosive push."
"Kettlebell Swings";"Conditioning";"Cardio";"Kettlebell";"Lower body";"Pull";"Hamstrings, Glutes, Lower Back, Core";"Swing the kettlebell between your legs and up to shoulder height by engaging your hips and maintaining a neutral spine."
